연번,역명,호선,구,동,상세주소,lon,lat
1,서울,1,중구,봉래동,서울특별시 중구 봉래동2가 122 서울역(1호선),126.9694999,37.5574069
2,시청,1,중구,정동,서울특별시 중구 정동 5-5 시청역(1호선),126.9753112,37.56389
3,종각,1,종로구,종로1가,서울특별시 종로구 종로1가 54 종각지하철역사,126.983116,37.570178
4,종로3가,1,종로구,종로3가,서울특별시 종로3가 10-5  1호선 종로3가역(1호선),126.9912475,37.5715
5,종로5가,1,종로구,종로5가,서울특별시 종로구 종로5가 82-1 1호선 종로5가역,127.0023506,37.5708307
6,동대문,1,종로구,창신동,서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선),127.0111585,37.5717398
7,신설동,1,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(1호선),127.0245602,37.5760874
8,제기동,1,동대문구,제기동,서울특별시 동대문구 제기동 65 제기동역,127.0345907,37.5781758
9,청량리(서울시립대입구),1,동대문구,전농동,서울특별시 동대문구 전농동 620-69 청량리역,127.0459903,37.5797844
10,동묘앞,1,종로구,숭인동,서울특별시 종로구 숭인동 117 동묘앞역(1호선),127.0166486,37.5732808
11,시청,2,중구,서소문동,서울특별시 중구 서소문동 90-1 시청역(2호선),126.9753112,37.56389
12,을지로입구,2,중구,을지로1가,서울특별시 중구 을지로1가 100-1 을지로입구역,126.982679,37.566065
13,을지로3가,2,중구,을지로3가,서울특별시 중구 을지로3가 347-3 을지로3가역(2호선),126.9902025,37.56617
14,을지로4가,2,중구,을지로4가,서울특별시 중구 을지로4가 267-1 을지로4가역(2호선),126.997631,37.56662
15,동대문역사문화공원,2,중구,을지로7가,서울특별시 중구 을지로 7가 112-3 동대문역사문화공원역(2호선),127.0084849,37.5657177
16,신당,2,중구,신당동,서울특별시 중구 신당동 99 신당역(2호선),127.0196049,37.5656465
17,상왕십리,2,성동구,하왕십리동,서울특별시 성동구 하왕십리동 946-14 상왕십리역,127.02986,37.56408
18,왕십리(성동구청),2,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(2호선),127.035505,37.5611284
19,한양대,2,성동구,행당동,서울특별시 성동구 행당동 산17 17 한양대역,127.0436859,37.5555961
20,뚝섬,2,성동구,성수동1가,서울특별시 성동구 성수동1가 656-745 뚝섬역,127.0473802,37.5471773
21,성수,2,성동구,성수동2가,서울특별시 성동구 성수동2가 300-1 성수역,127.0569347,37.5445389
22,건대입구,2,광진구,화양동,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),127.0690169,37.5407618
23,구의(광진구청),2,광진구,구의동,서울특별시 광진구 구의동 245-24 2호선 구의역,127.0907553,37.5382826
24,강변(동서울터미널),2,광진구,구의동,서울특별시 광진구 구의동 546-6 2호선 강변역,127.094689,37.535152
25,잠실나루,2,송파구,신천동,서울특별시 송파구 신천동 15 잠실나루역,127.103839,37.520669
26,잠실(송파구청),2,송파구,잠실동,서울특별시 송파구 잠실동 8 잠실역(2호선),127.0948475,37.515194
27,잠실새내,2,송파구,잠실동,서울특별시 송파구 잠실동 33 잠실새내역,127.085602,37.511632
28,종합운동장,2,송파구,잠실동,서울특별시 송파구 잠실동 122 종합운동장역,127.0742826,37.5110736
29,삼성(무역센터),2,강남,삼성동,서울특별시 강남구 삼성동 172-66 삼성역,127.0630673,37.5088263
30,선릉,2,강남,삼성동,서울특별시 강남구 삼성동 172-66 선릉역,127.0630673,37.5088263
31,역삼,2,강남,역삼동,서울특별시 강남구 역삼동 804 역삼역,127.028303,37.4981284
32,강남,2,강남,역삼동,서울특별시 강남구 역삼동 858 강남역,127.0299045,37.4985506
33,교대(법원·검찰청),2,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(2호선),127.0190234,37.4887673
34,서초,2,서초구,서초동,서울특별시 서초구 서초동 1748-5 서초역,127.0105414,37.4927648
35,방배,2,서초구,방배동,서울특별시 서초구 방배동 912-14 방배역,126.9973202,37.4812965
36,사당,2,동작구,사당동,서울특별시 동작구 사당동 1129 사당역(2호선),126.9816401,37.4765394
37,낙성대,2,관악구,봉천동,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,126.95999,37.4711007
38,서울대입구(관악구청),2,관악구,봉천동,서울특별시 관악구 봉천동 979-2 서울대입구역사,126.952712,37.48121
39,봉천,2,관악구,봉천동,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,126.941574,37.482476
40,신림,2,관악구,신림동,서울특별시 관악구 신림동 1467-10 2호선 신림역사,126.929676,37.484269
41,신대방,2,동작구,신대방동,서울특별시 동작구 신대방동 643-1 신대방역 2호선,126.91308,37.4874551
42,구로디지털단지,2,구로구,구로동,서울특별시 구로구 구로동 810-3 구로디지털단지역,126.90122,37.4849804
43,대림(구로구청),2,구로구,구로동,서울특별시 구로구 구로동 1204 대림역(2호선),126.89405,37.4932697
44,신도림,2,구로구,신도림동,서울특별시 구로구 신도림동 460-26 2호선 신도림역,126.8912091,37.5088341
45,문래,2,영등포구,문래동3가,서울특별시 영등포구 문래동3가 68-1문래역,126.8947513,37.5178873
46,영등포구청,2,영등포구,당산동3가,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),126.896621,37.5257723
47,당산,2,영등포구,당산동,서울특별시 영등포구 당산동 6가 323-1 당산역,126.9027301,37.5349309
48,합정,2,마포구,서교동,서울특별시 마포구 서교동 393 합정역(2호선),126.9145039,37.5500077
49,홍대입구,2,마포구,동교동,서울특별시 마포구 동교동 165 홍대입구역,126.923219,37.5562408
50,신촌,2,마포구,노고산동,서울특별시 마포구 노고산동 31-11 신촌역,126.9368898,37.5551357
51,이대,2,마포구,염리동,서울특별시 마포구 염리동 8-85 이대역,126.9477118,37.5568129
52,아현,2,마포구,아현동,서울특별시 마포구 아현동 354-23 아현역,126.9556609,37.5558896
53,충정로(경기대입구),2,서대문구,충정로3가,서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),126.963994,37.559654
54,용답,2,성동구,용답동,서울특별시 성동구 용답동 127 용답역,127.0508327,37.562132
55,신답,2,성동구,용답동,서울특별시 성동구 용답동 129-2 신답역,127.04701,37.569889
56,용두(동대문구청),2,동대문구,용두동,서울특별시 동대문구 용두동 47-1 용두역,127.0379896,37.5738576
57,신설동,2,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),127.0245591,37.5760865
